Algorithm,Matrix_Size,Layer_2_matmul_time,Total_fastmm_time,Total_time
dgemm,512,5561995.148999998,66400013.44099984,83.68657231330872
bini322,512,6534492.947000004,77049348.63999994,210.9689085483551
schonhage333,512,6892941.312000005,81405864.93800023,243.72835040092468
smirnov224,512,6077836.846000001,72363872.04500003,159.47790050506592
smirnov225,512,6502227.531000003,76677679.6780001,188.14243936538696
smirnov272,512,7708458.471999996,91637682.27899987,224.0048792362213
smirnov323,512,6763988.173999996,79972603.56300001,223.51098012924194
smirnov333,512,6884838.66,81872891.62799989,241.5306043624878
smirnov334,512,6817592.151000001,80365997.18499963,159.5581591129303
smirnov442,512,6089404.708000005,71270740.03000012,165.31433939933777
smirnov444,512,6509628.093,76130793.24599995,212.99939489364624
smirnov552,512,7739323.104999999,91689910.90299971,232.22750616073608
smirnov555,512,9045427.871000001,106437910.15700011,195.36869144439697
dgemm,1024,21370775.19899999,256308314.6289996,256.62008142471313
bini322,1024,21783656.700000003,261758568.64699996,251.2785406112671
schonhage333,1024,21963342.736,263626652.9010005,267.62090253829956
smirnov224,1024,20481899.148000002,245522011.5830004,255.69078946113586
smirnov225,1024,21134916.762000006,253417403.2150001,266.43381571769714
smirnov272,1024,23552258.81500002,285115484.1930002,254.3366084098816
smirnov323,1024,21704943.098999985,260115931.76499954,253.63793921470642
smirnov333,1024,21896912.172999993,262541051.8770004,247.27423095703125
smirnov334,1024,21849748.867,261008171.43100014,219.2664406299591
smirnov442,1024,19509216.865000013,233641099.40399972,229.22868299484253
smirnov444,1024,19871028.84700001,238626997.96200016,236.31032013893127
smirnov552,1024,23726409.18799999,284849684.38199973,311.58258175849915
smirnov555,1024,25700645.27500003,306889810.4190002,310.1705312728882
dgemm,2048,84407886.21300003,1016213154.5559986,857.7110645771027
bini322,2048,81479316.14799997,988825009.2810006,597.7771489620209
schonhage333,2048,82980058.56000003,976688449.546,622.0500001907349
smirnov224,2048,76466242.24799998,918300496.2019999,510.9119086265564
smirnov225,2048,78285862.80600004,939528130.7420013,545.3934893608093
smirnov272,2048,79953415.595,959380110.876999,534.8518660068512
smirnov323,2048,81768924.37100004,960525092.0850002,593.2982277870178
smirnov333,2048,82140036.425,966536781.7040013,620.2334480285645
smirnov334,2048,81785514.01700002,967243416.4579996,540.8077774047852
smirnov442,2048,71423089.75299998,857955157.6060004,413.5968599319458
smirnov444,2048,71441609.61400002,857290486.1330009,480.02469539642334
smirnov552,2048,84799657.87300004,996024413.3159996,596.1051123142242
smirnov555,2048,87830376.22399999,1030938123.6959994,570.5609092712402
dgemm,4096,325767097.36300004,3919358628.754002,3123.131917953491
bini322,4096,289602905.0340001,3483085083.6240044,939.5222306251526
schonhage333,4096,281200439.83400005,3385404728.071997,922.3310973644257
smirnov224,4096,292369477.526,3508754671.2710023,907.0722925662994
smirnov225,4096,283455163.865,3392531521.3089995,921.6181862354279
smirnov272,4096,298522055.2940002,3674924093.4370036,973.0704545974731
smirnov323,4096,277333136.585,3328111579.416997,901.5204563140869
smirnov333,4096,272316243.64400005,3286267898.0580015,926.484516620636
smirnov334,4096,274681128.374,3293459539.8850026,866.4117729663849
smirnov442,4096,263661054.849,3166864091.1020036,778.6509704589844
smirnov444,4096,256533868.041,3084778125.1480036,1037.7441668510437
smirnov552,4096,279690184.10799986,3364031337.7310038,999.6692550182343
smirnov555,4096,279998539.845,3357262296.9909973,913.9030160903931
dgemm,8192,1298028092.603,15701535275.318005,11633.669822216034
bini322,8192,1169416152.0399997,14079700186.262007,2573.64333319664
schonhage333,8192,1120267570.9780002,13492526846.432007,2608.5134518146515
smirnov224,8192,1119625027.102,13475474027.977991,2226.7490775585175
smirnov225,8192,1111392538.872,13401437903.363989,2279.1258912086487
smirnov272,8192,1187003517.2220001,14317547046.347004,2204.3980350494385
smirnov323,8192,1107838095.4980001,13317147882.168991,2607.336570739746
smirnov333,8192,1079581615.5300002,13021944025.857,2566.161315202713
smirnov334,8192,1091959983.0070002,13128987898.407011,2713.041657924652
smirnov442,8192,1051597439.532,12687633551.855999,1950.6206238269806
smirnov444,8192,1018056892.9959997,12318125425.31001,
smirnov552,8192,1120430361.367,13497094368.383,
smirnov555,8192,1074669849.8600004,12945198528.627005,
